tanggal,suhu_rata,kelembaban,curah_hujan,lama_penyinaran,kec_angin,is_libur_nasional,kuartal,is_weekend,is_awal_bulan,bulan_sin,bulan_cos,is_lebaran,is_natal_tahunbaru,is_musim_panen,lag_1,lag_7,lag_30,rawit_lag_1,rawit_lag_7,roll_std_7,roll_mean_30,roll_std_30,momentum_7,rasio_tren_7_30,volatilitas_14,roll_hujan_30,is_hari_hujan,selisih_harga_1,selisih_harga_7,is_pasca_covid,harga_cabai_merah,target_h1,target_h3,target_h7,harga_cabai_rawit
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7191011235955056,-0.797752808988764,0.0,0.39590443686006827,0.5555555555555556,-0.38962090338929717,-0.5526936890713183,0.21253654574765757,0.22580645161290322,-0.771037968626347,-0.5428294007565828,0.0,0.0,-1.3333333333333333,0.08547008547008547,1.0,25500.0,26500.0,25500.0,32500.0,45750.0
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7640449438202247,-0.6292134831460674,0.0,0.36860068259385664,0.5,-0.47426713851306945,-0.5806054386865056,0.17971281640440467,-0.3870967741935484,-0.6914571562410176,-0.527651589229306,0.0,0.0,1.3333333333333333,-0.22792022792022792,1.0,26500.0,25500.0,25500.0,36000.0,45750.0
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7191011235955056,-0.6741573033707865,0.0,0.36860068259385664,0.4722222222222222,-0.559646282696379,-0.6068753206772701,0.12969408473062985,-0.12903225806451613,-0.6680556715375784,-0.527833843969619,0.0,0.0,-1.3333333333333333,-0.22792022792022792,1.0,25500.0,25500.0,30000.0,36000.0,45250.0
2022-02-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7640449438202247,-0.6741573033707865,0.0,0.3412969283276451,0.4722222222222222,-0.5361376845183828,-0.6347870702924574,0.07350345219629144,-0.25806451612903225,-0.6397566894573561,-0.5138889455440525,0.0,0.0,0.0,-0.22792022792022792,1.0,25500.0,25500.0,32000.0,36000.0,45250.0
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7640449438202247,-0.6741573033707865,0.0,0.3412969283276451,0.4722222222222222,-0.5596462826963848,-0.6626988199076446,0.0031657443877373243,-0.25806451612903225,-0.6103963004375568,-0.5015787232201613,0.0,0.0,0.0,-0.22792022792022792,1.0,25500.0,30000.0,32500.0,36000.0,45250.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.7640449438202247,-0.7191011235955056,0.0,0.3412969283276451,0.4027777777777778,-0.6455825349789736,-0.690610569522832,-0.08387598278298279,-0.12903225806451613,-0.5799136480937842,-0.4908302819284303,0.0,0.0,6.0,0.39886039886039887,1.0,30000.0,32000.0,36000.0,38000.0,38000.0
2022-02-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.5617977528089888,-0.7191011235955056,0.0,-0.05460750853242321,0.4027777777777778,-0.21499411022890666,-0.7111339148281167,-0.2008951673130797,0.45161290322580644,-0.4501194596205671,-0.3371964216068668,0.0,0.0,2.6666666666666665,0.6267806267806267,1.0,32000.0,32500.0,36000.0,41500.0,41500.0
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.47191011235955055,-0.7640449438202247,0.0,0.13651877133105803,0.375,0.1851554201135118,-0.7283735248845559,-0.33423108669727536,0.8387096774193549,-0.28261709867920926,-0.08628779407913842,0.0,0.0,0.6666666666666666,0.7977207977207977,1.0,32500.0,36000.0,36000.0,41000.0,40000.0
2022-02-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.449438202247191,-0.7191011235955056,-0.3595505617977528,0.05460750853242321,0.375,0.3838102676699155,-0.7447922011287836,-0.4942866119389864,0.7741935483870968,-0.08057273879499167,0.07575452994849122,0.0,0.0,4.666666666666667,1.0826210826210827,1.0,36000.0,36000.0,36000.0,37500.0,34500.0
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.6339745962155611,0.3660254037844388,0.0,0.0,0.0,-0.29213483146067415,-0.7640449438202247,-0.3595505617977528,-0.24573378839590443,0.3472222222222222,0.776159993647946,-0.7423293996921495,-0.4743716665297226,1.3548387096774193,0.12014520705427367,0.5191253564034717,0.0,0.0,0.0,1.1965811965811965,1.0,36000.0,36000.0,38000.0,37500.0,34500.0
